study_type,sample_size,technology,disease_focus,key_finding,clinical_relevance,pmid,title,year
computational,,masked language model (tcrLM),"melanoma, COVID-19","tcrLM, a lightweight masked language model pretrained on TCR CDR3 sequences, accurately predicts TCR-peptide binding specificity and shows correlation between predicted TCR-neoantigen binding scores and immunotherapy response in melanoma patients.",high,41923632,A lightweight TcrLM model predicts T cell receptor and epitope binding specificity.,2026
clinical,4.0,high-throughput sequencing of TCR and BCR repertoires,myasthenia gravis,"Tacrolimus therapy induces greater remodeling of the B-cell receptor repertoire than the T-cell receptor repertoire in myasthenia gravis patients, with potential downregulation of specific immunoglobulin V gene families.",high,41912936,Longitudinal omics reveals immune repertoire remodeling in myasthenia gravis patients post-tacrolimus therapy.,2026
clinical,,,hepatocellular carcinoma,Systemic immune profiling identifies divergent immune mechanisms and predictive biomarkers of response to combination immunotherapies (atezolizumab plus bevacizumab and durvalumab plus tremelimumab) in advanced hepatocellular carcinoma.,high,41912268,Systemic immune profiling uncovers divergent mechanisms and predictive biomarkers of response to combination immunotherapies in hepatocellular carcinoma.,2026
clinical,43.0,"scRNA-seq, scTCR-seq",colorectal cancer,T cell clonal dynamics reveal two distinct immune suppression patterns in MSI and MSS colorectal cancers that better explain immunotherapy response than MSI status alone.,high,41898550,Single-Cell Multi-Tissue T Cell Clonal Dynamics Reveal Distinct Immune Coercion Landscapes in MSI and MSS Colorectal Cancer.,2026
clinical,,"['IgA-seq', 'IgG-seq', '16S rRNA sequencing', 'scRNA-seq', 'immune repertoire sequencing']",inflammatory bowel disease (IBD),"Vitamin D promotes immune tolerance to gut microbiota in patients with IBD by increasing IgA-bound bacteria, enhancing BAFF signaling, and expanding regulatory T and B cells.",high,41895287,Multi-omics reveal vitamin D regulation of immune-gut microbiome interactions and tolerogenic pathways in inflammatory bowel disease.,2026
clinical,251.0,"BCR/TCR sequencing (AIRRseq), ELISA",SARS-CoV-2 infection and vaccination,"Vaccination and infection produce subtle, diffuse B- and T-cell repertoire signatures with distinct age effects, where TCR binding capacity to SARS-CoV-2-specific sequences effectively predicts neutralizing antibody levels.",high,41894441,Contrasting effects of SARS-CoV-2 vaccination vs. infection on antibody and TCR repertoires.,2026
clinical,,TCR-seq,chronic chikungunya disease,"A TCR signature in peripheral blood CD4+ T cells is associated with chronic chikungunya disease and suggests a female-biased, conducive background immune profile.",high,41890765,"Identification of a TCR signature in peripheral blood derived CD4+ T cells, associated with chronic chikungunya disease, suggests a conducive, female-biased, background immune profile.",2026
clinical,,scRNA-seq,Systemic Sclerosis,"Single-cell RNA sequencing reveals the transcriptional landscape and characterizes CD4+ T cell subpopulations in systemic sclerosis patients, providing insights into the cellular and molecular mechanisms of the disease.",high,41889800,Transcriptional landscape of CD4+ T cells in Systemic Sclerosis.,2026
clinical,,Next-generation sequencing (NGS),Triple-negative breast cancer (TNBC),Combining neoantigen vaccination with genomic profiling via NGS represents a promising personalized medicine approach for TNBC patients undergoing neoadjuvant chemotherapy.,high,41889691,Personalized medicine in triple-negative breast cancer: combining neoantigen vaccination and genomic profiling in a patient undergoing neoadjuvant chemotherapy.,2025
computational,,TCR-seq,cancer and infectious disease,"GATTCR, a Graph Attention Network framework with multi-feature fusion, achieves superior TCR repertoire classification with up to 47.9% AUROC improvement in few-shot learning scenarios.",high,41874978,GATTCR: A Graph Attention Network with Multi-Feature Fusion for Peripheral Blood TCR Repertoire Classification.,2026
